epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,753.586,0.58517,0.44831,1.04275,0.97124,0.92845,0.96573,0.85322,0.56834,0.48324,0.94165,0.000848969,0.000848969,0.000848969
43,771.346,0.55365,0.41666,1.01979,0.95861,0.95724,0.98047,0.84977,0.60786,0.41249,0.98527,0.000834822,0.000834822,0.000834822
44,789.265,0.55745,0.42694,1.01253,0.97541,0.92585,0.97743,0.83775,0.59242,0.39148,0.98291,0.000820675,0.000820675,0.000820675
45,807.104,0.56243,0.43245,1.02521,0.95674,0.95207,0.97311,0.85561,0.55967,0.41742,0.93423,0.000806528,0.000806528,0.000806528
46,824.841,0.54225,0.41891,1.01299,0.96434,0.91735,0.97102,0.82919,0.67281,0.4727,0.97437,0.00079238,0.00079238,0.00079238
47,842.642,0.54939,0.40881,1.02847,0.97804,0.95644,0.9813,0.88452,0.51409,0.36441,0.92463,0.000778233,0.000778233,0.000778233
48,860.704,0.52555,0.41318,1.00562,0.90829,0.88263,0.95743,0.85201,0.56216,0.53912,0.92195,0.000764086,0.000764086,0.000764086
49,878.483,0.55247,0.41979,1.00744,0.91865,0.93873,0.97798,0.86243,0.55901,0.45356,0.92908,0.000749939,0.000749939,0.000749939
50,896.278,0.54042,0.4106,1.01104,0.96275,0.94997,0.97751,0.88008,0.52517,0.3907,0.90948,0.000735792,0.000735792,0.000735792
51,914.179,0.50595,0.38576,0.98955,0.98021,0.95142,0.97808,0.87461,0.56055,0.39061,0.93713,0.000721645,0.000721645,0.000721645
52,932.084,0.50344,0.38571,1.00194,0.96785,0.93943,0.9778,0.87051,0.54873,0.39617,0.93162,0.000707498,0.000707498,0.000707498
53,949.909,0.53127,0.39969,1.01277,0.96127,0.94041,0.97637,0.87948,0.52596,0.37918,0.91514,0.000693351,0.000693351,0.000693351
54,967.754,0.51438,0.3738,0.98877,0.97903,0.96819,0.98503,0.8737,0.54952,0.35115,0.9038,0.000679204,0.000679204,0.000679204
55,985.523,0.52829,0.37903,1.00141,0.99381,0.95266,0.98819,0.88406,0.52134,0.35584,0.90402,0.000665057,0.000665057,0.000665057
56,1003.46,0.50404,0.37531,0.99941,0.98044,0.98557,0.9882,0.89772,0.50253,0.3316,0.87231,0.000650909,0.000650909,0.000650909
57,1021.48,0.48927,0.36676,0.97864,0.96028,0.94417,0.97972,0.88021,0.5294,0.37699,0.91275,0.000636762,0.000636762,0.000636762
58,1039.32,0.51456,0.37863,0.99619,0.97012,0.95951,0.98447,0.9003,0.49378,0.33844,0.90639,0.000622615,0.000622615,0.000622615
59,1057.07,0.47858,0.35603,0.97478,0.98313,0.97177,0.98751,0.91174,0.45244,0.33374,0.86071,0.000608468,0.000608468,0.000608468
60,1075.06,0.47902,0.36475,0.9773,0.95461,0.93766,0.98113,0.89358,0.47186,0.37712,0.87104,0.000594321,0.000594321,0.000594321
61,1092.94,0.48547,0.35877,0.98083,0.96252,0.94066,0.98439,0.89303,0.49836,0.34957,0.87667,0.000580174,0.000580174,0.000580174
62,1110.77,0.46551,0.35262,0.971,0.98343,0.9567,0.98487,0.901,0.46333,0.32504,0.8595,0.000566027,0.000566027,0.000566027
63,1128.57,0.48522,0.36393,0.98451,0.98559,0.95207,0.98466,0.90728,0.45269,0.30284,0.85368,0.00055188,0.00055188,0.00055188
64,1146.41,0.46592,0.35146,0.97831,0.95941,0.97413,0.98502,0.90921,0.47047,0.3288,0.86069,0.000537733,0.000537733,0.000537733
65,1164.19,0.45125,0.34657,0.9779,0.99535,0.95847,0.97932,0.90747,0.43626,0.30972,0.83292,0.000523586,0.000523586,0.000523586
66,1182.04,0.44302,0.32979,0.96275,0.98144,0.93315,0.97922,0.89717,0.47942,0.3372,0.85192,0.000509438,0.000509438,0.000509438
67,1199.85,0.46147,0.33263,0.96293,0.99049,0.96133,0.98627,0.91305,0.45872,0.3107,0.85917,0.000495291,0.000495291,0.000495291
68,1217.87,0.45505,0.32698,0.96708,0.96421,0.95803,0.98601,0.90412,0.47087,0.31468,0.88477,0.000481144,0.000481144,0.000481144
69,1235.67,0.44421,0.33179,0.96264,0.98853,0.95126,0.9877,0.89979,0.48281,0.30787,0.89195,0.000466997,0.000466997,0.000466997
70,1253.42,0.43706,0.32481,0.95547,0.9647,0.96057,0.98735,0.91984,0.45374,0.30264,0.85572,0.00045285,0.00045285,0.00045285
71,1271.44,0.44182,0.3253,0.96519,0.97481,0.98094,0.98781,0.92339,0.4174,0.296,0.83367,0.000438703,0.000438703,0.000438703
72,1289.5,0.42676,0.31232,0.96105,0.96498,0.97113,0.98266,0.91394,0.45037,0.30127,0.85733,0.000424556,0.000424556,0.000424556
73,1307.34,0.4252,0.31877,0.95905,0.97643,0.98094,0.98859,0.9167,0.43777,0.2978,0.84267,0.000410409,0.000410409,0.000410409
74,1325.24,0.42307,0.30774,0.95274,0.98055,0.97237,0.98806,0.92225,0.43381,0.28726,0.84664,0.000396262,0.000396262,0.000396262
75,1343,0.41608,0.30731,0.95187,0.97654,0.97113,0.98596,0.91096,0.45673,0.31314,0.85368,0.000382115,0.000382115,0.000382115
76,1360.85,0.43188,0.3169,0.95732,0.98896,0.95917,0.98605,0.91425,0.4571,0.3034,0.84672,0.000367967,0.000367967,0.000367967
77,1378.7,0.42268,0.31099,0.94944,0.97582,0.97906,0.98857,0.91106,0.44322,0.29863,0.83187,0.00035382,0.00035382,0.00035382
78,1396.59,0.4175,0.30892,0.95122,0.97044,0.96951,0.98684,0.91266,0.44153,0.30763,0.8435,0.000339673,0.000339673,0.000339673
79,1414.59,0.40056,0.29518,0.93968,0.98288,0.96731,0.98723,0.91702,0.43152,0.29571,0.8475,0.000325526,0.000325526,0.000325526
80,1432.32,0.379,0.28299,0.93061,0.9858,0.96549,0.98772,0.92066,0.43273,0.28931,0.84901,0.000311379,0.000311379,0.000311379
81,1450.18,0.38976,0.28764,0.94199,0.97726,0.98094,0.98918,0.92949,0.41045,0.27297,0.8224,0.000297232,0.000297232,0.000297232
82,1468.05,0.40361,0.29192,0.94714,0.96747,0.96848,0.98744,0.9205,0.42328,0.28787,0.83984,0.000283085,0.000283085,0.000283085
83,1485.66,0.38079,0.28286,0.9432,0.96183,0.9705,0.98464,0.91691,0.43224,0.29606,0.84577,0.000268938,0.000268938,0.000268938
84,1503.55,0.3636,0.27443,0.92837,0.97173,0.97273,0.98806,0.92929,0.42673,0.28027,0.83663,0.000254791,0.000254791,0.000254791
85,1521.28,0.38029,0.27401,0.93203,0.97809,0.97231,0.98779,0.9279,0.4076,0.27835,0.82501,0.000240644,0.000240644,0.000240644
86,1539.18,0.3714,0.28045,0.93625,0.9765,0.9665,0.98792,0.9323,0.39384,0.27702,0.80872,0.000226497,0.000226497,0.000226497
87,1557.03,0.3528,0.25778,0.92398,0.98608,0.96227,0.98773,0.92947,0.41319,0.27929,0.82552,0.000212349,0.000212349,0.000212349
88,1574.9,0.37864,0.28383,0.93799,0.9796,0.97255,0.98733,0.92196,0.42133,0.27029,0.8351,0.000198202,0.000198202,0.000198202
89,1592.65,0.36728,0.27607,0.9431,0.9685,0.97235,0.98812,0.92427,0.40565,0.27464,0.81997,0.000184055,0.000184055,0.000184055
90,1610.49,0.35393,0.2632,0.91884,0.98044,0.97218,0.98921,0.93496,0.40227,0.25747,0.82275,0.000169908,0.000169908,0.000169908
91,1627.89,0.28681,0.21983,0.85401,0.98121,0.96133,0.98165,0.92328,0.43062,0.27088,0.83709,0.000155761,0.000155761,0.000155761
92,1645.28,0.26151,0.20546,0.84858,0.98591,0.96133,0.98063,0.93076,0.40749,0.27924,0.82619,0.000141614,0.000141614,0.000141614
93,1662.61,0.26731,0.20247,0.85232,0.9893,0.95982,0.97669,0.92686,0.41957,0.28392,0.82921,0.000127467,0.000127467,0.000127467
94,1680.15,0.24705,0.19066,0.83733,0.98877,0.96133,0.97744,0.93654,0.40414,0.27121,0.81878,0.00011332,0.00011332,0.00011332
95,1697.67,0.24686,0.1846,0.83513,0.98503,0.96133,0.97802,0.93171,0.40396,0.27178,0.82614,9.91726e-05,9.91726e-05,9.91726e-05
96,1715.01,0.22985,0.17878,0.8283,0.98781,0.96133,0.98254,0.93762,0.39731,0.26353,0.82263,8.50255e-05,8.50255e-05,8.50255e-05
97,1732.64,0.2379,0.18523,0.8363,0.98652,0.96133,0.98334,0.94077,0.39008,0.25107,0.81655,7.08784e-05,7.08784e-05,7.08784e-05
98,1750.17,0.23606,0.18505,0.84006,0.98604,0.96133,0.98364,0.94129,0.3762,0.25914,0.80238,5.67313e-05,5.67313e-05,5.67313e-05
99,1767.79,0.23084,0.18098,0.82717,0.98205,0.96133,0.98255,0.94135,0.37305,0.25211,0.80492,4.25842e-05,4.25842e-05,4.25842e-05
100,1785.19,0.21923,0.17183,0.82176,0.98396,0.96133,0.98743,0.94313,0.36079,0.24934,0.79538,2.84371e-05,2.84371e-05,2.84371e-05
